<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
PLZL;D;220921;000000;6,950;7,444.5;6,617;7,019.5;183,120
PLZL;D;220922;000000;7,002;7,190;6,860;6,949.5;148,479
PLZL;D;220923;000000;6,950;6,965;6,292.5;6,366;219,007
PLZL;D;220926;000000;6,300;6,300;5,500;5,572.5;227,293
PLZL;D;220927;000000;5,690;5,784.5;5,151;5,484;226,905
PLZL;D;220928;000000;5,474;5,474.5;5,275.5;5,390;186,681
PLZL;D;220929;000000;5,416;5,439.5;5,020;5,112.5;249,404
PLZL;D;220930;000000;5,127;5,190;4,910;5,018;318,779
PLZL;D;221003;000000;5,025;5,560;4,961;5,558.5;590,649
PLZL;D;221004;000000;5,586;6,070;5,457.5;5,999;702,261
PLZL;D;221005;000000;6,010;6,060;5,625;5,790;543,436
PLZL;D;221006;000000;5,799;5,890;5,731;5,812;228,557
PLZL;D;221007;000000;5,795;5,799;5,313;5,360;330,680
PLZL;D;221010;000000;5,216;5,425;5,124;5,300;354,314
PLZL;D;221011;000000;5,334.5;5,390;5,208.5;5,310.5;235,406
PLZL;D;221012;000000;5,340;5,356.5;5,190;5,210;179,824
PLZL;D;221013;000000;5,199;5,290;5,131;5,230;285,310
PLZL;D;221014;000000;5,259;5,260;5,071;5,119;196,590
PLZL;D;221017;000000;5,145;5,368;5,110.5;5,352;259,774
PLZL;D;221018;000000;5,349.5;5,750;5,252;5,570;628,460
PLZL;D;221019;000000;5,525;5,695;5,442;5,663.5;360,116
PLZL;D;221020;000000;5,665;6,050;5,615.5;5,943;532,146
PLZL;D;221021;000000;5,950;6,295;5,812.5;6,250.5;767,684
PLZL;D;221024;000000;6,308;6,465;6,160;6,213;418,167
PLZL;D;221025;000000;6,190.5;6,395;6,161.5;6,308;286,545
PLZL;D;221026;000000;6,345.5;6,409.5;6,007;6,114;440,043
PLZL;D;221027;000000;6,129;6,249;6,050;6,116.5;293,532
PLZL;D;221028;000000;6,120;6,120;5,940;6,030.5;268,636
PLZL;D;221031;000000;6,038.5;6,235;5,973;6,047;292,840
PLZL;D;221101;000000;6,054;6,143.5;5,985;6,056;159,460
