<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SELG;D;220923;000000;41.1;44;40;40.58;2,330,220
SELG;D;220926;000000;40.03;40.39;34.53;35.11;1,867,220
SELG;D;220927;000000;34.96;36.02;33.73;35.74;671,050
SELG;D;220928;000000;36.15;36.7;35.62;36.14;528,030
SELG;D;220929;000000;36.65;36.67;35.2;35.2;313,010
SELG;D;220930;000000;36.2;36.2;34.9;35.4;591,430
SELG;D;221003;000000;36;39.95;35.7;38.96;690,030
SELG;D;221004;000000;39.23;41.16;37.71;40.2;845,430
SELG;D;221005;000000;40.21;40.3;38;39.12;743,530
SELG;D;221006;000000;39.12;40.24;39.12;40.15;393,840
SELG;D;221007;000000;40.15;40.15;38.01;38.01;326,360
SELG;D;221010;000000;37.2;39.79;36;38.61;314,570
SELG;D;221011;000000;38.62;39.6;38.42;39.1;191,750
SELG;D;221012;000000;39.6;40.18;38.86;39.65;329,150
SELG;D;221013;000000;39.85;40.49;39.5;39.92;283,620
SELG;D;221014;000000;39.92;40.36;39.39;39.53;223,540
SELG;D;221017;000000;39.6;40.5;39.53;40.13;386,210
SELG;D;221018;000000;40.67;42.2;40.55;41.5;1,020,570
SELG;D;221019;000000;41.29;41.29;38.52;40;726,810
SELG;D;221020;000000;40.01;40.95;40;40.44;419,280
SELG;D;221021;000000;40.41;40.75;39.63;40.31;329,550
SELG;D;221024;000000;40.46;41.41;40.36;40.66;291,170
SELG;D;221025;000000;40.99;41.9;40.4;41.75;518,730
SELG;D;221026;000000;41.9;43.2;41.38;41.94;861,340
SELG;D;221027;000000;42.07;43.19;41.91;42.49;565,330
SELG;D;221028;000000;42.91;42.91;41.86;42.07;212,680
SELG;D;221031;000000;42.98;42.98;42;42.56;281,430
SELG;D;221101;000000;42.9;42.94;41.48;42.45;218,500
SELG;D;221102;000000;42.3;42.65;42.01;42.22;152,170
SELG;D;221103;000000;42.19;42.19;40.42;41.3;392,980
SELG;D;221107;000000;41.62;42.21;41.61;42.01;300,940
SELG;D;221108;000000;42.25;43;41.69;42.9;329,320
SELG;D;221109;000000;44;46.75;43.1;44.15;3,439,300
SELG;D;221110;000000;44.14;45.63;43.04;45.01;1,341,780
SELG;D;221111;000000;45.22;45.8;44;44.28;955,570
SELG;D;221114;000000;44.62;44.97;43.8;44.28;492,620
SELG;D;221115;000000;44.05;44.63;43.4;43.75;511,560
SELG;D;221116;000000;43.7;44.14;43.21;43.62;288,010
