<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
PLZL;D;221019;000000;5525;5695;5442;5663.5;360116
PLZL;D;221020;000000;5665;6050;5615.5;5943;532146
PLZL;D;221021;000000;5950;6295;5812.5;6250.5;767684
PLZL;D;221024;000000;6308;6465;6160;6213;418167
PLZL;D;221025;000000;6190.5;6395;6161.5;6308;286545
PLZL;D;221026;000000;6345.5;6409.5;6007;6114;440043
PLZL;D;221027;000000;6129;6249;6050;6116.5;293532
PLZL;D;221028;000000;6120;6120;5940;6030.5;268636
PLZL;D;221031;000000;6038.5;6235;5973;6047;292840
PLZL;D;221101;000000;6054;6143.5;5985;6056;159460
PLZL;D;221102;000000;6061;6068;5830;5900.5;160550
PLZL;D;221103;000000;5899.5;5970;5850;5908;204897
PLZL;D;221107;000000;6015.5;6200;5990.5;6178.5;340097
PLZL;D;221108;000000;6179;6594;6065;6508.5;523358
PLZL;D;221109;000000;6527;6728;6361;6434.5;658307
PLZL;D;221110;000000;6462;6720;6377;6715;405180
PLZL;D;221111;000000;6735;6839.5;6652;6733;316037
PLZL;D;221114;000000;6733;6800;6611;6682;204247
PLZL;D;221115;000000;6680.5;6775;6210;6482;388284
PLZL;D;221116;000000;6500;6667;6451;6634;203468
PLZL;D;221117;000000;6634;6653;6470;6574.5;130521
PLZL;D;221118;000000;6569.5;6610;6511.5;6575;73967
PLZL;D;221121;000000;6545.5;6547.5;6331;6428;212637
PLZL;D;221122;000000;6431;6770;6370;6741.5;347731
PLZL;D;221123;000000;6767;7178.5;6738.5;7140.5;975545
PLZL;D;221124;000000;7159;7237;6942.5;7068;501724
PLZL;D;221125;000000;7075;7095;6910;7008;299562
PLZL;D;221128;000000;6970;7219;6886;7150.5;414886
PLZL;D;221129;000000;7175;7344;7159;7237;415188
PLZL;D;221130;000000;7248;7340.5;7167;7338.5;315757
PLZL;D;221201;000000;7380;7540;7330;7525;583772
PLZL;D;221202;000000;7496;7660;7374;7504.5;649091
PLZL;D;221205;000000;7535;7640;7366.5;7446.5;385220
PLZL;D;221206;000000;7423;7479;7326;7382;251008
PLZL;D;221207;000000;7379;7467;7265;7452.5;236161
PLZL;D;221208;000000;7472.5;7495;7350.5;7402;176771
PLZL;D;221209;000000;7425;7460;7369;7420.5;150389
PLZL;D;221212;000000;7409;7445;7370;7418;99204
PLZL;D;221213;000000;7425;7710;7360;7638.5;420290
PLZL;D;221214;000000;7648.5;7830;7593.5;7738;374536
PLZL;D;221215;000000;7707;7729.5;7427.5;7463;315631
PLZL;D;221216;000000;7477.5;7597;7411;7525.5;225300
PLZL;D;221219;000000;7548.5;7607.5;7348;7503.5;255680
PLZL;D;221220;000000;7499;7830;7473.5;7803;361755
PLZL;D;221221;000000;7850;8029.5;7764;7853;457482
PLZL;D;221222;000000;7877;8004;7672;7760.5;283613
PLZL;D;221223;000000;7785;7868;7713;7823.5;141458
PLZL;D;221226;000000;7815;7898.5;7731.5;7809;136438
PLZL;D;221227;000000;7849;7880;7810;7862;126049
PLZL;D;221228;000000;7850;7860;7750.5;7770;101072
PLZL;D;221229;000000;7775;7802;7625;7734;130459
